Implant Line,Implant Part No,Implant Diameter,Implant Length,Guide Sleeve,Drill Length,Offset,Starter Drill,Initial Drill 1,Initial Drill 2,Drill 1,Drill 2,Drill 3,Drill 4
Primus,PBF4008S,4,8.5,CGSC-5304,20,11.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Primus,PBF4008S,4,8.5,CGSC-5304,21.5,13,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF4010S,4,10,CGSC-5304,20,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Primus,PBF4010S,4,10,CGSC-5304,21.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF4010S,4,10,CGSC-5304,23,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF4011S,4,11.5,CGSC-5304,21.5,10,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF4011S,4,11.5,CGSC-5304,23,11.5,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF4011S,4,11.5,CGSC-5304,24.5,13,x,x,x,x,x,x,x
Primus,PBF4013S,4,13,CGSC-5304,23,10,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF4013S,4,13,CGSC-5304,24.5,11.5,x,x,x,x,x,x,x
Primus,PBF4013S,4,13,CGSC-5304,26,13,x,x,x,x,x,x,x
Primus,PBF4507S,4.5,7.5,CGSC-5304,17.5,10,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Primus,PBF4507S,4.5,7.5,CGSC-5304,19,11.5,x,x,x,x,x,x,x
Primus,PBF4507S,4.5,7.5,CGSC-5304,20.5,13,x,x,x,x,x,x,x
Primus,PBF4508S,4.5,8.5,CGSC-5304,18.5,10,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Primus,PBF4508S,4.5,8.5,CGSC-5304,20,11.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Primus,PBF4508S,4.5,8.5,CGSC-5304,21.5,13,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF4510S,4.5,10,CGSC-5304,20,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Primus,PBF4510S,4.5,10,CGSC-5304,21.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF4510S,4.5,10,CGSC-5304,23,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF4511S,4.5,11.5,CGSC-5304,21.5,10,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF4511S,4.5,11.5,CGSC-5304,23,11.5,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF4511S,4.5,11.5,CGSC-5304,24.5,13,x,x,x,x,x,x,x
Primus,PBF4513S,4.5,13,CGSC-5304,23,10,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF4513S,4.5,13,CGSC-5304,24.5,11.5,x,x,x,x,x,x,x
Primus,PBF4513S,4.5,13,CGSC-5304,26,13,x,x,x,x,x,x,x
Primus,PBF5007S,5,7.5,CGSC-5304,17.5,10,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Primus,PBF5007S,5,7.5,CGSC-5304,19,11.5,x,x,x,x,x,x,x
Primus,PBF5007S,5,7.5,CGSC-5304,20.5,13,x,x,x,x,x,x,x
Primus,PBF5008S,5,8.5,CGSC-5304,18.5,10,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Primus,PBF5008S,5,8.5,CGSC-5304,20,11.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Primus,PBF5008S,5,8.5,CGSC-5304,21.5,13,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF5010S,5,10,CGSC-5304,20,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Primus,PBF5010S,5,10,CGSC-5304,21.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF5010S,5,10,CGSC-5304,23,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF5011S,5,11.5,CGSC-5304,21.5,10,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Primus,PBF5011S,5,11.5,CGSC-5304,23,11.5,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF5011S,5,11.5,CGSC-5304,24.5,13,x,x,x,x,x,x,x
Primus,PBF5013S,5,13,CGSC-5304,23,10,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Primus,PBF5013S,5,13,CGSC-5304,24.5,11.5,x,x,x,x,x,x,x
Primus,PBF5013S,5,13,CGSC-5304,26,13,x,x,x,x,x,x,x
